GCA_000011345.1_ASM1134v1	GCA_000011345	Thermosynechococcus elongatus BP-1
GCA_002796835.1_ASM279683v1	GCA_002796835	Elainella saxicola E1
GCA_002893155.1_ASM289315v1	GCA_002893155	Cylindrospermopsis raciborskii C03
GCA_002934005.1_ASM293400v1	GCA_002934005	Cuspidothrix issatschenkoi CHARLIE-1
GCA_003003775.1_ASM300377v1	GCA_003003775	Merismopedia glauca CCAP 1448/3
GCA_003003795.1_ASM300379v1	GCA_003003795	Stenomitos frigidus ULC18
GCA_003003835.1_ASM300383v1	GCA_003003835	Chroococcidiopsis cubana CCALA 043
GCA_003003845.1_ASM300384v1	GCA_003003845	Chamaesiphon polymorphus CCALA 037
GCA_003003885.1_ASM300388v1	GCA_003003885	Chlorogloea sp. CCALA 695
GCA_003003925.1_ASM300392v1	GCA_003003925	Aphanothece cf. minutissima CCALA 015
GCA_003003995.1_ASM300399v1	GCA_003003995	Pleurocapsa sp. CCALA 161
GCA_003004015.1_ASM300401v1	GCA_003004015	Cyanosarcina cf. burmensis CCALA 770
GCA_003007785.1_ASM300778v1	GCA_003007785	Aphanothece hegewaldii CCALA 016
GCA_003149375.1_ASM314937v1	GCA_003149375	Vampirovibrio chlorellavorus isolate Vc_AZ_1
GCA_003241845.1_ASM324184v1	GCA_003241845	Leptolyngbya antarctica
GCA_003242085.1_ASM324208v1	GCA_003242085	Pseudanabaena frigida
GCA_003242115.1_ASM324211v1	GCA_003242115	Phormidesmis priestleyi
GCA_003242895.1_ASM324289v1	GCA_003242895	Candidatus Margulisbacteria bacterium
GCA_003249095.1_ASM324909v1	GCA_003249095	Snowella sp.
GCA_003265975.1_ASM326597v1	GCA_003265975	Candidatus Marinamargulisbacteria bacterium
GCA_003346915.1_ASM334691v1	GCA_003346915	Mastigocladus laminosus WC112
GCA_003506815.1_ASM350681v1	GCA_003506815	Microcoleaceae bacterium UBA10368
GCA_003838195.1_ASM383819v1	GCA_003838195	Okeania hirsuta strain PAB10Feb10-1
GCA_003846445.1_ASM384644v1	GCA_003846445	Synechococcus elongatus PCC 11801
GCA_003864295.1_ASM386429v1	GCA_003864295	Aphanothece sacrum FPU1
GCA_003864455.1_ASM386445v1	GCA_003864455	Candidatus Termititenax aidoneus NkOx7-01
GCA_003990575.1_ASM399057v1	GCA_003990575	Chlorogloeopsis fritschii PCC 6912
GCA_003990665.2_ASM399066v2	GCA_003990665	Thermosynechococcus vulcanus NIES-2134
GCA_004212215.1_ASM421221v1	GCA_004212215	Halomicronema excentricum str. Lakshadweep
GCA_004323185.1_ASM432318v1	GCA_004323185	Westiellopsis prolifica IICB1
GCA_004768385.1_ASM476838v1	GCA_004768385	Aphanocapsa feldmannii 277cI
GCA_005402765.2_ASM540276v2	GCA_005402765	Planktothrix agardhii CCAP 1459/11A NIES-905
GCA_005518235.1_ASM551823v1	GCA_005518235	Hormoscilla sp. GUM007
GCA_005787545.1_ASM578754v1	GCA_005787545	Prochlorococcus marinus isolate F1-20-MAGs142
GCA_007096045.1_ASM709604v1	GCA_007096045	Microcystis novacekii
GCA_007904085.1_ASM790408v1	GCA_007904085	Euhalothece natronophila Z-M001
GCA_009498015.1_ASM949801v1	GCA_009498015	Anabaena sp. YBS01
GCA_009710015.1_ASM971001v1	GCA_009710015	Cyanobacterium aponinum 0216
GCA_009728615.1_ASM972861v1	GCA_009728615	Gloeocapsopsis sp. AAB1
GCA_010091945.1_ASM1009194v1	GCA_010091945	Myxacorys almedinensis
GCA_010156995.1_ASM1015699v1	GCA_010156995	Jacksonvillea sp. ISTCYN1
GCA_010672995.1_ASM1067299v1	GCA_010672995	Symploca sp. SIO1A3
GCA_011331945.1_ASM1133194v1	GCA_011331945	Gloeobacter violaceus SpSt-379
GCA_012031635.1_ASM1203163v1	GCA_012031635	Coleofasciculaceae cyanobacterium SM2_1_6
GCA_012033135.1_ASM1203313v1	GCA_012033135	Acaryochloridaceae cyanobacterium CSU_3_4
GCA_012034065.1_ASM1203406v1	GCA_012034065	Spirulinaceae cyanobacterium RM2_2_10
GCA_012295525.1_ASM1229552v1	GCA_012295525	Oxynema sp. AP17
GCA_012516315.1_ASM1251631v1	GCA_012516315	Limnospira fusiformis SAG 85.79
GCA_012863495.1_ASM1286349v1	GCA_012863495	Pseudanabaena yagii GIHE-NHR1
GCA_012912135.1_ASM1291213v1	GCA_012912135	Brasilonema bromeliae SPC951
GCA_013177315.1_ASM1317731v1	GCA_013177315	Thermoleptolyngbya sp. PKUAC-SCTA183
GCA_013216135.1_ASM1321613v1	GCA_013216135	Candidatus Caenarcaniphilales bacterium isolate DT_14
GCA_013285545.1_ASM1328554v1	GCA_013285545	Candidatus Aurora vandensis isolate MP9P1
GCA_013285555.1_ASM1328555v1	GCA_013285555	Candidatus Aurora vandensis isolate LV9
GCA_900010725.2_PCC_8927_PRJEB10992_v2	GCA_900010725	Planktothrix serta PCC 8927
GCA_900548375.1_UMGS1079	GCA_900548375	Candidatus Gastranaerophilales bacterium
GCA_900659865.1_H1P	GCA_900659865	Hyella patelloides LEGE 07179
GCA_903970565.1_BOG_genome_mining.92_sub	GCA_903970565	Candidatus Melainabacteria bacterium
GMOR	GMOR	Gloeobacter morelensis
